response_id,is_correct
xymiebz,1.0
ctfczoc,0.0
nfpozen,1.0
xivecnp,1.0
oaswbcd,1.0
tugaggt,1.0
iokvrmz,1.0
xpocqej,1.0
qsuxxwi,1.0
wiisocq,0.0
kohxqqv,1.0
tqcttxz,0.0
qpvobfj,1.0
xkrstxc,1.0
ouelpos,0.0
odphpjb,1.0
wmzuhul,0.0
jpwgzhz,1.0
jjkbaka,1.0
vjsuxmq,1.0
rpiuiuz,1.0
rsehxpk,1.0
uaqjbro,1.0
jhekpbf,0.0
hhfyfmo,0.0
xfmugtx,0.0
sgcmhtn,0.0
gwkakkg,1.0
svrkzuc,0.0
hpkqjyk,1.0
aewgelk,1.0
gvqxaza,0.0
onanrkp,1.0
jsjnpmt,1.0
ukvtvhc,1.0
ujvurds,1.0
zeoqusz,0.0
dhjsimf,0.0
imyfrxt,1.0
aumwdkg,1.0
wigozpp,0.0
xctdkcq,0.0
feypgbu,1.0
loqjylt,0.0
ltxhlmg,1.0
vseocuq,1.0
usgfler,1.0
iwuejvx,1.0
kdpmghy,1.0
mqwojko,1.0
arnjzhw,1.0
vdqkuae,1.0
npzmlmw,0.0
hgojqjf,1.0
yknvmeg,1.0
ntacpwy,1.0
tizmwmi,0.0
fscksxq,0.0
kbfudmd,0.0
bmfkhub,1.0
lezwhyh,0.0
hqgvsly,0.0
bhatqlv,1.0
ycghzqy,1.0
eywtpfm,0.0
cxoimwd,1.0
zbdoggr,1.0
shdccvb,1.0
pzsgydm,1.0
xwzgzyu,0.0
hpudmhs,0.0
thngfgj,1.0
fcvmlqj,0.0
zvdunus,0.0
xdqcmbj,0.0
luobjxf,1.0
dabtduo,1.0
zpymvqx,0.0
atvhddc,0.0
julkzwn,0.0
zflgbqw,0.0
jsjkuis,0.0
jayvgdv,1.0
zruhxvu,1.0
kprlqou,1.0
cjduvsp,0.0
puggpxb,1.0
ovzsxgd,1.0
wwgpzwc,1.0
xsereln,1.0
qrbkikj,1.0
xivyqdf,1.0
pkinkqd,1.0
popiewk,0.0
rrdlhku,0.0
usleahz,1.0
tthkcqu,0.0
gvoaqav,1.0
xduqjaa,0.0
nfwawqx,1.0
pboyksq,1.0
eydfzjo,0.0
iaukafb,1.0
hklznfc,1.0
tflwgxn,1.0
gmmuosq,1.0
ugraxzt,1.0
juruojg,0.0
podoeiy,1.0
ykuywkr,1.0
hpvntij,0.0
vhgvyzg,1.0
zdgscfy,1.0
hfzqcrp,1.0
aszurdx,1.0
vampguc,1.0
gxsxahb,0.0
zejcaym,1.0
mcrldos,1.0
uztabwm,0.0
glohack,1.0
yhqjooh,0.0
mxrbwar,0.0
riqmrwv,1.0
gygqhhr,1.0
cwcxunf,1.0
afsohrk,1.0
bjluxrd,1.0
uoizcdj,1.0
meuohao,0.0
rnigplk,1.0
suaxgqh,1.0
ikwlhck,1.0
oqrfjdn,0.0
eorqdbm,0.0
chgkjbr,1.0
mlvzqwd,1.0
hkdujsk,1.0
cdyxoiz,0.0
bowfyjr,1.0
czkakah,1.0
fjuokck,1.0
mhneyeh,1.0
pmoxrzc,1.0
wswhhee,1.0
mbfveqt,0.0
mdrbxcc,0.0
jrzgicx,1.0
xqdtkaq,1.0
lkechke,1.0
vtsbzcp,1.0
pjxjdwd,1.0
uulpjxf,1.0
sixyykw,1.0
oqtzvjm,1.0
lcqpuac,1.0
ncvbkoy,1.0
botfpax,0.0
dhzgkwi,0.0
ixyaepi,1.0
twqibdg,1.0
zksmncm,1.0
vhpzyrp,1.0
kzycwwc,0.0
gcdcqdn,0.0
eivwklm,0.0
fzewunh,1.0
gqwzgco,0.0
qcslqls,1.0
sjevfmg,1.0
apjoopw,1.0
ukxsmmq,1.0
xryvvff,1.0
pdcoxph,1.0
vxrmqrt,0.0
upjefhm,1.0
gltnlpj,1.0
rzownir,0.0
bmkykgg,1.0
kgxpnpi,1.0
zahirvd,1.0
abtkwgi,0.0
dhdbjow,1.0
xvimxvl,1.0
lqeabms,1.0
bfabxaq,0.0
zgclkrr,1.0
huoxqzi,0.0
mmckbjr,1.0
ctzgmcs,1.0
zgqxpfw,1.0
moevuea,0.0
hllxlhu,0.0
lygncgj,1.0
zoequva,1.0
mewhlhl,1.0
rcvlvpw,1.0
ifflzxx,1.0
oaroujl,1.0
xovyerg,0.0
lbjtbxt,0.0
qicplrp,1.0
hxnvrsy,0.0
tqqsgcz,0.0
jlyavan,1.0
czjvqru,1.0
jwmemma,1.0
awegmsj,0.0
lrutnli,1.0
iikofkx,1.0
nsodcwt,1.0
wuitryi,1.0
kjnryvg,0.0
ubjqdzf,1.0
kixnygt,1.0
csaxjav,1.0
ckijyoj,1.0
mzerchl,1.0
tqxlnvg,1.0
mjvvxmg,1.0
rfhoasl,1.0
ldvbzed,1.0
bqczhwu,1.0
gfflpwk,0.0
jpxgqmu,1.0
pkfctcf,1.0
gzlgqme,1.0
ikufche,1.0
tqfpaua,1.0
mhxokzj,1.0
zyzbapt,1.0
byvsfye,0.0
rzqsryy,1.0
aztafex,0.0
ljalzyh,1.0
lixuveh,1.0
ysqkoof,0.0
taraakj,1.0
qwpafck,1.0
vmbmmix,1.0
glcipju,1.0
ffarbvp,1.0
ceakiii,0.0
enlvheq,1.0
sebffii,0.0
fznwobj,0.0
garsron,1.0
hdskzqa,1.0
sksllap,0.0
xfieouw,0.0
rzwthnn,1.0
atwvzjx,0.0
jvmtgym,0.0
prrgrxi,0.0
ivaugcc,1.0
dctkikw,1.0
psexhfo,1.0
ptzwiyy,0.0
crxpbch,0.0
tkiegev,1.0
ikbvksb,1.0
nnibafg,1.0
xivuaxf,1.0
vgnugsg,1.0
mmreotu,1.0
ujspaaq,0.0
kwtpvrv,1.0
fdnuwqk,1.0
tydiudz,1.0
vcletos,0.0
odlxuli,0.0
ylwjxrf,1.0
fgwenuu,1.0
hygkvnt,0.0
xeewmga,0.0
wemgakb,1.0
fexqrya,1.0
pukvxcl,1.0
fpeiwox,0.0
knxlpqe,0.0
hkbgbmh,1.0
dyuzmiy,1.0
gtbgpwj,1.0
payyrev,1.0
nudmgsg,1.0
sneegam,1.0
gbmtdzr,0.0
apuexyw,1.0
etktvsy,1.0
sptknjs,1.0
qtiuyee,1.0
irazlwe,1.0
gisftlp,1.0
bifnsgm,1.0
jjdmnfh,1.0
dnfeuno,0.0
gpuylgz,1.0
vesvfsb,1.0
shyslla,1.0
oeccyhl,1.0
ucgemko,1.0
nirxjph,1.0
hofnucz,0.0
degcvev,1.0
xzcguve,1.0
abnbosm,1.0
dsdolra,0.0
gnsjhsb,1.0
frzquxw,1.0
axpgtvy,0.0
cvpumyy,1.0
uubiyjg,1.0
mfczmpo,1.0
oukekty,1.0
dgsxydg,1.0
egikbsd,1.0
mprbwla,1.0
wllpxnf,0.0
qrkwbkc,1.0
ifufdac,0.0
rsfpybi,1.0
fvsjgma,1.0
pmgmxcd,1.0
yvaulsk,1.0
ruvxdvo,0.0
bgfltwo,1.0
mgjhpmq,1.0
laouole,1.0
efclumd,1.0
ycpzfwp,1.0
ysgeyxd,0.0
vgrtvpe,1.0
drmlldw,1.0
tbxnowh,1.0
rtgrckj,0.0
lwsnwwi,1.0
qipixxs,1.0
mwntfeo,1.0
onidlws,0.0
vdqqjjs,1.0
khnkroy,1.0
mqklzqb,0.0
lcdiqtr,1.0
lrxtmhe,0.0
tmhazfj,0.0
wwrxitc,1.0
bpzyyrt,1.0
prgvemj,1.0
tnsjtzi,1.0
flmsgrv,0.0
ggpzved,1.0
imfcdle,1.0
schmumz,0.0
uwpwuun,1.0
vmswezm,0.0
ireizdp,1.0
gvkanql,0.0
vzjgiog,1.0
bplwjlo,1.0
zluxatx,1.0
rrolhue,1.0
lpperyj,0.0
saiziit,1.0
mdpelzl,0.0
puhyapl,1.0
bxjxtss,1.0
dwquola,1.0
bxvfubg,1.0
graytro,1.0
lldvmlw,1.0
nwxxycz,1.0
tgyshsl,0.0
krczaix,1.0
jzdeiaw,0.0
hxwlhfd,1.0
pxqoyst,1.0
steaadd,1.0
vgsfisn,1.0
avsynkv,1.0
oueqmnp,0.0
knywphj,1.0
ihzltul,0.0
odbnpgf,0.0
gcsjlcc,0.0
wzphfwx,1.0
jeurlkb,1.0
zcycmpc,1.0
zaqwszh,1.0
sjdjukh,1.0
mthbtfs,1.0
zkstwnf,1.0
rlytdlv,1.0
zeliwdr,1.0
cqavbld,1.0
trzjnoa,1.0
ycyxnar,1.0
xguzixa,0.0
hrzdjwd,1.0
kyeatyv,1.0
xbmkobt,1.0
vjnekpa,1.0
crfcsyp,0.0
lnewebt,1.0
vpqwdfz,1.0
jecswxg,1.0
azechzw,1.0
tngnkgr,0.0
luddyec,0.0
wjyobwx,0.0
piscugr,1.0
zrkgbty,0.0
xluyvmg,1.0
xfpeqel,0.0
ypepqqi,1.0
adischf,0.0
aaimltn,1.0
ugazlwh,1.0
katcqza,1.0
caqslcm,1.0
uiixuse,0.0
bjptdhp,1.0
kbgfolb,1.0
ypnomfj,1.0
zexoudc,1.0
rndkvpw,0.0
rygdgvo,1.0
aeqrdew,1.0
bhtgkcn,1.0
gtasprw,1.0
seakmhl,1.0
uuwoqbl,1.0
cwbssfg,0.0
iccenrh,1.0
vfyzlxc,0.0
vvxkmce,1.0
gsuemgw,1.0
owestvv,0.0
skwfdzj,1.0
usbmutn,1.0
jzzrffc,1.0
jsungcl,1.0
dacsrxn,1.0
lebhafo,1.0
npgauwi,1.0
hqtjeay,1.0
wlnljgq,1.0
qnvuvdg,1.0
uoncupl,1.0
mhgqhpo,1.0
nnpeggl,1.0
zcvfimz,1.0
czpqwma,1.0
vwwdjti,1.0
vzvckmq,1.0
gbhiuiy,1.0
hnnwavg,0.0
ezdlaie,1.0
fqzgvcb,1.0
nktjrnj,1.0
mgwrrtq,1.0
hwqjwfo,1.0
icziuym,1.0
yqbzjlw,1.0
oqnhqyc,1.0
vquaqct,1.0
bqeculw,1.0
navbqld,0.0
pjfimfi,1.0
rnkbvrq,1.0
ankdzbp,1.0
rhbxrsn,1.0
nfpdrti,1.0
zwseadj,1.0
wvnjcro,0.0
gkiheky,1.0
ahdvkmj,1.0
jjpmohh,1.0
lltiszu,0.0
dbajnmg,0.0
mlpxqcf,1.0
bqflvke,1.0
kayjnyq,1.0
gmnjdaj,1.0
mdovcav,1.0
notrlcj,1.0
owxslnq,1.0
qnkutjd,1.0
mvacrph,1.0
dthsrep,1.0
zjrezzb,1.0
qbvnaut,1.0
rntxjcl,0.0
ptnpati,1.0
sautiqm,0.0
ljrqnrg,1.0
ebeqrzy,1.0
pekqzco,1.0
gimpiue,1.0
vvakwyc,1.0
wlnxxfg,1.0
rndiwvq,1.0
zdqepra,1.0
nwukwac,0.0
flaojog,1.0
yrrekao,1.0
girehzw,1.0
rzjcggb,1.0
mumjyxw,1.0
yixnjxm,1.0
ynnzuiq,0.0
txwqswz,1.0
amekhty,0.0
hyrbsdh,1.0
lwhoifw,1.0
assoqcg,0.0
gaqclyr,1.0
irgwcft,0.0
zokypnc,0.0
fqgtxbj,1.0
tenhfvz,1.0
hjqhair,1.0
lrcjdfs,1.0
edjtheu,1.0
lpywvmo,1.0
mfqxwer,1.0
efoegqi,1.0
kxbqttf,0.0
nimctpn,1.0
zsioelj,1.0
juyhjmc,1.0
lpwdgqe,1.0
rtvozqb,1.0
hbredxf,0.0
lctoloq,0.0
qkxtuqb,0.0
kobmrwo,1.0
rlunwpx,1.0
uikvgoh,1.0
nskwsno,1.0
bokgzeh,0.0
sqdgbkv,1.0
aogksxn,1.0
hfadtwe,0.0
otdmfdd,0.0
yrzkyoc,1.0
kgrxmnx,0.0
soxkgbh,0.0
czeckyu,1.0
cqzaaus,1.0
yutuavp,1.0
wyeebve,1.0
qvsnozt,1.0
auhtbal,1.0
toabltd,0.0
ydxxjva,0.0
sbzeuvn,1.0
ulxmzdx,0.0
zpjxqvf,1.0
sofrjgh,1.0
obyhjcs,1.0
ettdksa,1.0
jylwcgq,0.0
ysawrbu,1.0
ajwcneo,1.0
odymzyb,1.0
lzxbjkj,0.0
odogqyi,1.0
knpqazo,1.0
ndimquz,0.0
ocpcdee,1.0
syveecv,0.0
kwhbvar,0.0
lmvuiud,1.0
uvowvne,1.0
mmqwxey,1.0
ecmkvip,1.0
lrlwohw,1.0
lgiveoc,1.0
dsbkzze,0.0
sivujnm,1.0
jkhoqov,0.0
wmtwalr,0.0
hgnucqw,1.0
msnmkhm,0.0
qnjuirg,0.0
btntwpa,1.0
suajxiv,1.0
wweybke,0.0
pmbrnft,1.0
hnpvtwy,0.0
lrkaspk,0.0
fduoayd,0.0
qfvbvvr,0.0
ywxatsk,1.0
hpmlzkf,1.0
fdfcxyy,1.0
dimyvkp,1.0
urqnfyg,0.0
ftehmma,1.0
ripgnbl,1.0
ovxzyfa,1.0
otnxvrk,1.0
rgmkdpj,0.0
wmesfqk,1.0
pkhehfm,0.0
yohrtpb,1.0
dqfhshb,1.0
wbvysqk,0.0
dmxanml,1.0
qtakbku,1.0
qhlmueb,1.0
mhtaemx,0.0
bcbnslk,1.0
wobgvwl,0.0
htzoxlr,1.0
ypbnuuk,1.0
yidtrqq,1.0
zecjbxu,1.0
gqkcwsg,1.0
zxqjaqm,1.0
lcjtxlh,0.0
uivqrjg,1.0
okmwdok,0.0
cnkjubi,1.0
bpnhqda,1.0
djxkail,1.0
xspmbha,1.0
wzmdsqy,0.0
jgcwbvj,1.0
pittfst,0.0
yfmgkhw,1.0
zphrlxg,1.0
hjjqsmg,0.0
tpxxzip,1.0
jgndpsc,0.0
jkbuqoe,1.0
yehagya,1.0
onhzgdc,1.0
hiimrbh,1.0
hyjwzls,1.0
zapowly,1.0
ybxscgj,1.0
lphnoui,1.0
etzzssf,1.0
bmscebm,1.0
mbkuqbj,1.0
nqksnzf,1.0
osaodzs,0.0
gyounxh,1.0
sfkwyxl,1.0
ifbhpbe,1.0
zzadmpk,0.0
riospvf,1.0
rotgzee,0.0
mjahwtm,0.0
qzxtbej,1.0
snuxjbi,1.0
mgjvsez,1.0
ocafhbu,1.0
voxdiey,0.0
iixyhwf,1.0
kgacgtw,1.0
dalqgev,1.0
zdxarjf,1.0
ckpmxug,0.0
ayrvfcx,0.0
lxrrndy,0.0
tgkdhbm,0.0
qrupbez,1.0
sxeoxpc,1.0
wqijmkf,0.0
hcspypc,1.0
ksbggbq,0.0
lyqvrtj,1.0
vrgriop,1.0
hvxyzed,1.0
xiruzgu,0.0
hdszyow,1.0
xjaphhm,1.0
vyyycnf,1.0
lxdwhrg,1.0
cvrowqs,0.0
xvtrywh,1.0
vcbfzct,1.0
dhlorky,1.0
uxmarys,0.0
nqwvbkb,1.0
bmxydrf,1.0
kzyzkut,0.0
qvvdkxv,0.0
azmyrjy,1.0
lnusser,1.0
invejla,1.0
uxukzkv,1.0
gzxromr,1.0
lbcadkh,1.0
rgtlmpc,1.0
psrifjt,1.0
dbigpnx,0.0
uihwjwr,1.0
ogdvohq,1.0
itmsgwv,1.0
mfcxxch,1.0
txebivv,0.0
ezhkgoa,1.0
npywggz,0.0
flstpbt,1.0
omiqttk,0.0
kbstoau,1.0
dxsrird,0.0
ryuyffb,0.0
uoxdqtk,1.0
uclhmol,1.0
deyzpvx,1.0
hjyresb,1.0
vwiczsj,1.0
muxucyk,0.0
ykxtxyc,1.0
kuuhcuc,1.0
tpgmyvq,0.0
uupkyru,1.0
eyewdqj,0.0
tgsmuro,1.0
rwwekcq,1.0
rdhzuwz,0.0
qqnepyr,0.0
fjvbmpo,1.0
rnfqvvv,0.0
idxpuhs,1.0
aukzbik,1.0
hrdjyov,1.0
xwngbeh,1.0
tjljtvw,1.0
xqvmseq,1.0
rqrxawx,0.0
vqsynpt,1.0
asfjbod,1.0
fxmkrrt,1.0
svceduu,0.0
seqcpjc,1.0
kjzjrzd,1.0
bzknpvq,1.0
cwhpeyi,0.0
ljjboiz,1.0
uyhbtqz,0.0
xfgclan,1.0
ugzcczb,0.0
qscrvcw,0.0
cxrluqg,0.0
ftomunz,1.0
fzncrpk,0.0
zbwbmfl,1.0
mofgkfz,1.0
hfoqqbs,1.0
yflnamd,0.0
lqrxhrx,1.0
ljumhjm,1.0
othmevw,1.0
ztiljns,1.0
pbwnmzi,1.0
pinhynv,1.0
typixjq,1.0
ifwnask,0.0
gfsmudz,1.0
aksftoo,0.0
pywmcpm,1.0
edliaot,0.0
skxmnby,1.0
unbrpju,1.0
eebckiz,1.0
xyxgoer,1.0
cnibjkl,1.0
jghxwav,1.0
utpwuxg,1.0
rzshaum,0.0
gignxto,0.0
rurulpq,1.0
gxsgsst,1.0
kprzjwn,1.0
zutbpsk,1.0
uybmjtt,1.0
hhmdkme,1.0
pqwcnft,1.0
hervolq,0.0
qvegtta,0.0
bcofjjm,1.0
bibejak,1.0
dlvfzkd,1.0
podilww,0.0
jspbabi,1.0
jcetjdv,0.0
jbwvmgs,1.0
pbmnzee,1.0
ibneeig,0.0
cgemjlb,1.0
bdpcgzx,1.0
ssbkhxp,1.0
mmyevfu,1.0
kclzwrr,1.0
agsxynw,1.0
vpljjor,0.0
rwnlvff,1.0
yrxcrif,1.0
alvyjxs,1.0
wibuzna,0.0
qmacnnn,1.0
ywpbssq,1.0
jajvdnr,1.0
lwpptpd,1.0
fsznopj,1.0
gbsbmfx,1.0
qpeutvp,1.0
zivdodc,1.0
brlpbje,0.0
rocntig,1.0
oykdxkj,0.0
sqyaehe,1.0
ytctrym,1.0
efwynwr,1.0
wnagnuw,1.0
sydexkv,1.0
ealbvpz,1.0
jqjrhkw,0.0
gazaach,0.0
otvdlzr,1.0
kuevpbr,1.0
osjoskz,1.0
rwpfrws,1.0
fprsdtf,1.0
aqgnral,0.0
twjxsaf,1.0
jesxpga,1.0
lwtjlbc,1.0
qqdaryj,0.0
hflissg,1.0
vhqjfqf,1.0
rppkjgu,0.0
yemjcdq,1.0
elfrhhe,1.0
vcrckfk,1.0
dxjvxct,1.0
ahwojnv,1.0
pjqptxc,0.0
oqalnfm,0.0
wxpedhq,1.0
vnlqklh,1.0
gglzrlt,0.0
yikujcx,1.0
msgiwmu,1.0
isupnzq,0.0
wgnvuks,1.0
slvmzzl,1.0
jiovayq,0.0
udhogzr,1.0
tqdzjfa,1.0
tnfirml,1.0
oskdzub,1.0
eenvfas,1.0
hgulcmn,0.0
qlqskva,1.0
zrewcwk,1.0
aurxcdr,1.0
xjiijrm,1.0
ioedupe,1.0
rarzthi,1.0
ieumpco,1.0
rtjhaab,1.0
ubmdnnz,1.0
sgdchob,1.0
zteunny,1.0
jfjfftm,1.0
dgfqnjt,1.0
jtilzvo,1.0
vfafpmj,1.0
hhctunu,0.0
thvvszn,1.0
rvxdvya,1.0
ywecyvd,1.0
uatzklc,0.0
dbjyeby,0.0
jwgspwz,1.0
vdxiqsj,0.0
eloalic,0.0
gqfrmyj,0.0
blnllzh,0.0
kcuxvuk,1.0
hdnomkq,1.0
vrbmcit,1.0
bllnwsj,1.0
leuioxe,1.0
wqbceyp,1.0
xiiclqz,0.0
vlfkpqj,1.0
zqwvlxb,1.0
sbusrhd,0.0
zsgzfjl,1.0
uywvtxx,1.0
hrgmghq,1.0
ujprymm,1.0
xanwepa,1.0
szvfoth,1.0
ypugjpr,1.0
wolvpux,0.0
syjjcpi,1.0
zhepezi,0.0
evabbns,1.0
scguxau,1.0
crxhrxy,1.0
lgwebgz,1.0
przmuny,1.0
crqfwhp,1.0
mdlyirk,1.0
mpflbbq,1.0
ftrxsdo,1.0
bhdhjli,1.0
cxgpkmw,0.0
bfdbtfj,1.0
mlkzgus,0.0
gnqdygj,1.0
dfufaij,1.0
sheqxdg,1.0
wpongyk,1.0
fdeaoff,0.0
bkdncal,1.0
lnipuvz,1.0
iuwdryr,0.0
hvebyku,1.0
xbhvzdj,1.0
plpvajy,0.0
kiqwori,0.0
taitcnm,0.0
eknwqeh,1.0
uhfkvxj,0.0
qqaceuf,1.0
xqgfuwa,1.0
wgzqjqs,1.0
rwjozsk,1.0
sdisags,0.0
qyundwh,1.0
sfehfve,1.0
pswdbzo,0.0
uasunpb,0.0
zodxyoy,1.0
psthmes,1.0
ilqzosp,1.0
tzyrjxy,1.0
tlqecyl,1.0
suabuwf,1.0
vwquoui,1.0
pdszmah,1.0
pbyzeup,1.0
dfrutwn,0.0
qxtmxom,1.0
mznqctx,1.0
hmokzms,1.0
wabwrpi,1.0
qpazymo,1.0
xspuuel,1.0
pugbrpo,0.0
vojfhyc,1.0
cxhinhv,1.0
pqmqjba,1.0
ekqpzhs,1.0
wlzvsov,0.0
xoadrvx,0.0
gkfoqzp,1.0
lhbayqr,1.0
tqthedf,1.0
mnbrzfu,0.0
balqbnk,1.0
dhbevkq,1.0
ohcdhjz,1.0
mhpwlzg,1.0
nnuzanu,0.0
dnflxqq,1.0
tiksvsh,0.0
dezsrhw,1.0
exkeprj,1.0
jonvhxo,1.0
jbnfvtp,1.0
hraozmq,1.0
vtvblqq,1.0
svminzf,1.0
gdboaub,0.0
zvrkwet,1.0
razrmrz,1.0
pdbljpt,1.0
nhnxwjm,1.0
oqedmbf,1.0
ajolgrm,1.0
epavapk,0.0
gkeejkj,0.0
npbphzi,1.0
vilqxuw,0.0
givlkaz,1.0
bgoipho,1.0
rwxwbdw,1.0
nptysxw,1.0
hhkjpsz,1.0
xpwgwvx,1.0
hybanwa,1.0
jhmqmpk,0.0
xgundcd,0.0
baauguy,1.0
lfifdny,1.0
vzanusd,0.0
gjidhxi,0.0
jgxyvds,1.0
gvuaeoe,0.0
xfkhilx,1.0
nvemgcs,1.0
mpvyslk,1.0
hhjtvcb,1.0
pcbdfsg,1.0
ahsjdcl,1.0
ixbofxt,1.0
jvkmcrb,0.0
eidcvlw,1.0
evinmze,1.0
qrubmlf,1.0
bxztsfe,0.0
gtdjfwc,1.0
zktzzag,1.0
nbxdrat,1.0
yqifvpk,1.0
zcxoiwa,1.0
atchvxd,1.0
sumipjw,0.0
ufefwhi,1.0
rigcgif,0.0
jecdyky,1.0
ywjsvcp,0.0
cwzhisy,1.0
yftzwsx,0.0
iftiugk,0.0
kyiwxpc,1.0
tayvoal,0.0
